email_text,spam_label,category_label,timestamp
Project deadline is tomorrow,ham,work,2026-03-04 01:42:16
50% off sale now!,ham,promotional,2026-03-04 01:42:16
Assignment due next week,ham,academic,2026-03-04 01:42:16
"Intern with Shark Tank Featured Founders!
Inbox

Jia from Unstop <noreply@unstop.news> Unsubscribe
Mon 2 Mar, 18:55 (2 days ago)
to me

Golden Opportunity Alert!

Shark Tank–featured founders invite you to an exclusive One-Day Internship opportunity.

Application Link: Click Here

They faced the sharks. Now it’s your turn to face the founders.

Experience how bold ideas are built.

Regards,
Team Unstop",ham,promotional,2026-03-04 01:52:52
"New in Postman: APIs now meet you where you work
Inbox

The Postman Team <notifications@mail.postman.com> Unsubscribe
01:44 (8 minutes ago)
to me

 

Hi Isha,

 

API work has always lived a little apart from everything else: separate from your code, your Git repo, and your CI pipeline. Today, that changes.

 

We're launching a new Postman where your collections, specs, tests, and mocks live alongside your code on your local filesystem and in Git. Now everything is versioned, reviewable through pull requests, and runs the same locally and in CI using the Postman CLI. 

 

We've also shipped Agent Mode, which understands context across your specs, tests, collections, and mocks. Describe the change you want, and Agent Mode handles it accurately the first time. Every update it makes is also versioned and traceable, so you're reducing manual work without giving up visibility or control.

 

Plus, with other new capabilities, you can now:

Organize requests across HTTP, GraphQL, gRPC, MCP, MQTT, WebSockets, and AI in a single collection. This means you have one place to validate behavior across protocols, rather than jumping between tools.
Run performance tests directly from your collections, so concurrency and load issues surface before release.
We've also introduced a new Solo plan for individual developers, with additional AI and automation capabilities built in.",ham,other,2026-03-04 01:53:57
"7 of 984
SEO + AI Stack (Save 90%)
Inbox

Neil Patel <np@neilpatel.com> Unsubscribe
Sun 1 Mar, 02:57 (3 days ago)
to me

Ubersuggest unifies your AI & SEO strategy — getting you ranked on Google and recommended by ChatGPT.

Everything runs on enterprise-grade data, but presented in an AI-driven workflow — so you can execute in minutes, not hours. And because we just integrated Google Gemini directly into our keyword and prompt research, that workflow is now faster and more comprehensive than ever before.

Pay once, use it for life. But as we evolve the platform, our pricing has to reflect that continuous value, so we are officially retiring the Lifetime Plan to new members soon.

​Get continuous updates for life (Save 90%) →​

Cheers,
Neil Patel

P.S. If you’re not sure what to do first (keywords, prompts, audits, content or backlinks), just hit reply — my team will help you in any way we can.",ham,other,2026-03-04 01:54:44
coming for party tonight ???do reply me fast ,ham,other,2026-03-04 01:55:18
"helloo , chachu here ",ham,other,2026-03-04 01:55:42
"hey isha, we find your portfolio intersting , can u share more work experience",ham,work,2026-03-04 01:56:42
hey you won 1o lakh rupees lottery!!!,spam,promotional,2026-03-04 01:57:19
Project deadline is tomorrow,ham,work,2026-03-29 19:24:21
50% off sale now!,ham,promotional,2026-03-29 19:24:21
Assignment due next week,ham,academic,2026-03-29 19:24:21
Project deadline is tomorrow,ham,work,2026-03-29 19:24:45
50% off sale now!,ham,promotional,2026-03-29 19:24:45
Assignment due next week,ham,academic,2026-03-29 19:24:45
